Bag_Type,Date,Material_Style,Price,Currency
Kelly 25,1/2/24,Togo Retourne,8600,EUR
Kelly 25,1/2/24,Epsom Sellier,9500,EUR
Kelly 25,1/2/24,Swift,9000,EUR
Kelly 25,1/2/24,Mysore Chèvre Sellier,9600,EUR
Kelly 25,1/2/24,Shiny Crocodile Sellier,42400,EUR
Kelly 25,3/20/24,Togo Retourne,8600,EUR
Kelly 25,9/30/24,Chevre/Epsom/Tadelakt Casaque Étoilée,11500,EUR
Kelly 25,10/21/24,Togo Touch Lizard,120000,RMB
Kelly 25,10/21/24,Epsom Sellier Touch Croc,150000,RMB
Kelly 25,10/21/24,Epsom Sellier tri-color,94800,RMB
Kelly 25,11/12/24,Chevre Chamkila Sellier,9600,EUR
Kelly 25,12/3/24,Casaque Etoilee,125000,RMB
Kelly 28,1/2/24,Epsom Sellier,10300,EUR
Kelly 28,1/2/24,Togo Retourne,9600,EUR
Kelly 28,2/16/24,Epsom Sellier,12500,USD
Kelly 28,2/17/24,Togo Retourne,9600,EUR
Kelly 28,2/25/24,Box Sellier,12750,EUR
Kelly 28,4/13/24,Clemence Retourne,9100,EUR
Kelly 28,4/19/24,Epsom Sellier,9500,EUR
Kelly 28,7/18/24,Touch Veau Madame/Niloticus Croc Sellier,14900,EUR
Kelly 28,8/8/24,Box Sellier,17200,USD
Kelly 28,8/17/24,Togo Retourne,9070,GBP
Kelly 28,8/20/24,Veau Madame Sellier,13600,USD
Kelly 28,11/11/24,Togo Retourne,12000,USD
Kelly 28,12/11/24,Box Sellier,13100,EUR
Kelly 28,12/16/24,Barenia Faubourg,9700,EUR
Kelly 32,1/2/24,Epsom Sellier,10700,EUR
Kelly 35,7/10/24,Picnic Swift,17400,EUR
Birkin 20,12/6/24,Chamkila Sellier (Limited Edition Bouclerie Moderne),24100,USD
Birkin 25,1/2/24,Togo,8600,EUR
Birkin 25,1/2/24,Epsom Sellier,9000,EUR
Birkin 25,1/2/24,Ostrich,16700,EUR
Birkin 25,1/2/24,Matte Alligator,42100,EUR
Birkin 25,1/5/24,Togo,11400,USD
Birkin 25,1/5/24,Touch Matte Alligator/Togo,22500,USD
Birkin 25,1/6/24,Barenia,15400,USD
Birkin 25,1/7/24,Togo,17000,SGD
Birkin 25,1/18/24,Togo,13500,CAD
Birkin 25,1/18/24,Porosus Sellier,42100,EUR
Birkin 25,2/7/24,Swift,12000,USD
Birkin 25,2/13/24,Cargo Canvas and Swift,17800,USD
Birkin 25,2/17/24,Sellier Crocodile Porosus Lisse,42100,EUR
Birkin 25,2/24/24,Box Sellier,16500,USD
Birkin 25,3/5/24,Sellier Aizome Porosus Crocodile,64400,USD
Birkin 25,4/8/24,Swift,9000,EUR
Birkin 25,4/15/24,Barenia Faubourg,9380,GBP
Birkin 25,4/29/24,Epsom Sellier,446800,THB
Birkin 25,5/5/24,Picnic Swift / Osier Wicker,36000,SGD
Birkin 25,5/10/24,Ostrich,22200,USD
Birkin 25,5/21/24,Retourne Matte Porosus,55000,USD
Birkin 25,5/22/24,Picnic Swift / Osier Wicker,24200,USD
Birkin 25,6/12/24,Barenia Faubourg,12500,USD
Birkin 25,6/19/24,Togo,11400,USD
Birkin 25,7/31/24,Chevre,9000,EUR
Birkin 25,8/12/24,Chèvre Mysore,9000,EUR
Birkin 25,8/28/24,Côte à Côte Tuffetage Swift,11800,EUR
Birkin 25,9/26/24,Box Sellier,12900,EUR
Birkin 25,9/27/24,Barenia Faubourg,9400,EUR
Birkin 25,10/6/24,In Go Team Ebene/Dk Choc Swift/Agneau Milo,15300,EUR
Birkin 25,10/21/24,Go Team Indigo Felt,170000,RMB
Birkin 25,10/21/24,Swift Quadrille Canvas,96800,RMB
Birkin 25,11/16/24,Barenia smooth,11600,EUR
Birkin 25,11/25/24,Epsom Sellier,12000,USD
Birkin 25,12/20/24,Birkin 25 Picnic swift leather,24200,USD
Birkin 30,1/2/24,Togo,9400,EUR
Birkin 30,1/2/24,Epsom,9250,EUR
Birkin 30,1/2/24,Barenia Faubourg,10400,EUR
Birkin 30,1/13/24,Swift/Toile,9400,EUR
Birkin 30,1/18/24,Togo,10000,CHF
Birkin 30,3/21/24,Epsom,12300,USD
Birkin 30,3/28/24,Grizzly/Swift,11300,EUR
Birkin 30,4/9/24,Togo,12500,USD
Birkin 30,7/24/24,Tadelakt,13600,USD
Birkin 30,7/30/24,Alligator Matte Sellier,58800,USD
Birkin 30,8/5/24,Ostrich,19200,EUR
Birkin 30,8/6/24,Chevre,9800,EUR
Birkin 30,8/30/24,Swift/maxi bivouac toile,12500,USD
Birkin 30,12/26/24,Togo,20110,AUD
Birkin 35,1/2/24,Togo,10200,EUR
Birkin 35,1/27/24,Togo,110800,HKD
Birkin 35,11/29/24,Togo,13600,USD
HAC 40,12/6/24,Togo,16300,USD
Constance 18,1/2/24,Epsom,6950,EUR
Constance 18,1/2/24,Ombre Lizard,17700,EUR
Constance 18,1/2/24,Swift Mirror,7550,EUR
Constance 18,1/2/24,Mysore Chèvre,8000,EUR
Constance 18,1/2/24,Studded,21800,EUR
Constance 18,1/2/24,Matte Gator Mirror,27000,EUR
Constance 18,1/2/24,Epsom,6930,GBP
Constance 18,1/18/24,Epsom,10900,CAD
Constance 18,3/14/24,Matte Gator Mirror,36100,USD
Constance 18,3/16/24,Lizard,15600,EUR
Constance 18,3/16/24,Epsom with tri-color exotic H (Alligator & Lizard),7750,EUR
Constance 18,3/21/24,Box Clouté (Studded),233680,HKD
Constance 18,3/23/24,Smooth Barenia,498800,THB
Constance 18,3/30/24,Box calf mirror,12700,USD
Constance 18,4/30/24,Swift,7550,EUR
Constance 18,5/24/24,Chevre Mirror,415700,THB
Constance 18,6/12/24,Epsom Mirror,9250,USD
Constance 18,6/28/24,Chèvre Chamkila Mirror,10300,USD
Constance 18,10/1/24,Ostrich Mirror,14200,EUR
Constance 18,10/7/24,Epsom Mirror with tri-color exotic H Buckle (Alligator & Lizard),196000,CZK
Constance 18,10/25/24,Chevre Chamkilight,17900,SGD
Constance 18,12/2/24,Evercolor Mirror Verso,91900,SEK
Constance 24,1/17/24,Epsom,10800,USD
Constance 24,4/5/24,Epsom,12700,CAD
Constance 24,4/19/24,Epsom,8100,EUR
Constance 24,5/11/24,Box,11170,GBP
Constance 24,6/1/24,Box,14900,USD
Constance 24,10/4/24,Epsom,8100,EUR
Lindy 19,1/2/24,Clemence,5500,EUR
Lindy 19,1/2/24,Clemence,7300,USD
Lindy 19,1/2/24,Clemence,10900,SGD
Lindy 19,1/5/24,Clemence,11640,AUD
Lindy 19,1/6/24,Clemence,27795,AED
Lindy 19,1/8/24,Verso Swift,29705,AED
Lindy 19,1/8/24,Clemence,285800,THB
Lindy 19,1/8/24,Clemence,10090000,KRW
Lindy 19,1/8/24,Clemence,914000,JPY
Lindy 19,1/17/24,Clemence,5490,GBP
Lindy 19,1/17/24,Swift,7750,USD
Lindy 19,1/18/24,Clemence,8650,CAD
Lindy 19,1/19/24,Clemence,5500,EUR
Lindy 19,2/27/24,Swift,12380,AUD
Lindy 19,4/8/24,Verso Swift,304000,THB
Lindy 19,5/11/24,Clemence,7300,USD
Lindy 19,6/7/24,Clemence,10900,SGD
Lindy 19,10/8/24,Clemence,139000,CZK
Lindy 26,1/2/24,Clemence,8700,USD
Lindy 26,1/3/24,Clemence,6550,EUR
Lindy 26,1/3/24,Clemence,34065,AED
Lindy 26,1/3/24,Clemence,340400,THB
Lindy 26,1/6/24,Clemence,7200,CHF
Lindy 26,1/6/24,Clemence,13000,SGD
Lindy 26,1/8/24,Clemence,6540,GBP
Lindy 26,1/17/24,Clemence,73300,MOP
Lindy 26,1/17/24,Evercolor,14285,AUD
Lindy 26,1/18/24,Clemence,10300,CAD
Lindy 26,2/22/24,Clemence,13860,AUD
Lindy 26,5/29/24,Evercolor,350700,THB
Lindy 26,7/17/24,Barenia Faubourg,66800,HKD
Lindy 30,1/5/24,Clemence,15235,AUD
Lindy 30,5/29/24,Clemence,374100,THB
Lindy 30,8/13/24,Clemence,11300,CAD
Evelyne 16,1/2/24,Clemence,9625,SAR
Evelyne 16,1/2/24,Clemence,1660,EUR
Evelyne 16,1/4/24,Clemence,2600,CAD
Evelyne 16,1/5/24,Clemence,3500,SGD
Evelyne 16,1/8/24,Clemence,82500,THB
Evelyne 16,1/8/24,Clemence,3050000,KRW
Evelyne 16,1/8/24,Clemence,3100,CHF
Evelyne 16,1/9/24,Clemence,2200,USD
Evelyne 16,1/17/24,Clemence Wooly strap,1760,EUR
Evelyne 16,1/17/24,Taurillon Maurice,1700,EUR
Evelyne 16,1/17/24,Clemence,9145,AED
Evelyne 16,1/19/24,Clemence,1660,GBP
Evelyne 16,2/3/24,Clemence,10400,MYR
Evelyne 16,3/11/24,Clemence,130000,PHP
Evelyne 16,4/3/24,Barenia Faubourg,2325,USD
Evelyne 16,4/17/24,Neo Officier Canvas and Swift,3100,USD
Evelyne 16,4/19/24,Neo Officier Canvas and Swift,2340,EUR
Evelyne 16,6/20/24,Amazone Grizzly (Suede),2625,USD
Evelyne 29,1/1/24,Clemence,5700,SGD
Evelyne 29,1/3/24,Clemence,2900,EUR
Evelyne 29,1/4/24,Clemence,3850,USD
Evelyne 29,1/3/24,Clemence,144000,THB
Evelyne 29,1/6/24,Clemence,3100,CHF
Evelyne 29,1/8/24,Clemence,5320000,KRW
Evelyne 29,1/18/24,Clemence,4550,CAD
Evelyne 29,1/19/24,Clemence,31500,HKD
Evelyne 29,4/15/24,Barenia Faubourg,3925,USD
Evelyne 29,6/24/24,Neo Officier Canvas and Swift,3650,EUR
Evelyne 33,1/8/24,Clemence,3200,EUR
Kelly 7.5,1/1/24,Epsom,14200,SGD
Kelly 7.5,1/2/24,Ostrich,13500,EUR
Kelly 7.5,1/2/24,Matte Alligator,27900,EUR
Kelly 7.5,1/2/24,Epsom,7150,EUR
Kelly 7.5,1/2/24,Mysore Chèvre,7700,EUR
Kelly 7.5,1/2/24,Lizard,16200,EUR
Kelly 7.5,1/2/24,Epsom Lizard Touch,8200,EUR
Kelly 7.5,1/5/24,Epsom,14200,SGD
Kelly 7.5,1/11/24,Box,9850,EUR
Kelly 7.5,1/12/24,Epsom,9400,USD
Kelly 7.5,1/18/24,Box Clouté (Studded),19600,EUR
Kelly 7.5,2/4/24,Madame and Lizard Touch,8200,EUR
Kelly 7.5,2/4/24,Croc Touch,11100,EUR
Kelly 7.5,2/19/24,Box Clouté (Studded),25800,USD
Kelly 7.5,3/16/24,Epsom,7150,EUR
Kelly 7.5,3/27/24,Satine Boreal Alligator,49600,USD
Kelly 7.5,4/28/24,Epsom,9400,USD
Kelly 7.5,5/6/24,Lizard,21300,USD
Kelly 7.5,7/8/24,Madame and Lizard Touch,10800,USD
Kelly 7.5,7/19/24,Epsom,6680,GBP
Kelly 7.5,7/8/24,Epsom,7150,EUR
Kelly 7.5,7/25/24,Epsom,7150,EUR
Kelly 7.5,8/5/24,Chamkila,7670,GBP
Kelly 7.5,8/5/24,Picnic Swift/Wicker,13500,EUR
Kelly 7.5,8/28/24,Chèvre,10100,USD
Kelly 7.5,9/6/24,Chèvre,10100,USD
Kelly 7.5,10/4/24,Ostrich,17500,USD
Kelly 7.5,10/6/24,Box Cheval de Bois,14500,EUR
Kelly 7.5,10/6/24,Teddy Plush Shearling Chamois/Ecru/Alezan,14500,EUR
Kelly 7.5,10/23/24,Chèvre,15200,SGD
Kelly 7.5,11/8/24,Mysore Chèvre SO,10100,USD
Kelly 7.5,11/25/24,Tadelakt Cheval De Bois,19100,USD
Kelly 7.5,12/1/24,Matte Alligator,36700,USD
Kelly 7.5,12/6/24,Barenia Alligator Missi,49600,USD
Kelly 7.5,12/10/24,Epsom,11000,CAD
Kelly 25,1/2/23,Epsom Sellier,8650,EUR
Kelly 25,1/2/23,Togo Retourné,8050,EUR
Kelly 25,1/6/23,Box Sellier,23200,SGD
Kelly 25,1/10/23,Swift (in and out),10600,EUR
Kelly 25,1/29/23,Quadrille Toile/Swift ,12870,USD
Kelly 25,2/17/23,Epsom Sellier,17000,SGD
Kelly 25,3/14/23,Epsom Sellier ,11300,USD
Kelly 25,3/16/23,Epsom Sellier Touch Alligator,14300,EUR
Kelly 25,3/25/23,Togo Retourné ,10500,USD
Kelly 25,3/28/23,Chevre Sellier ,11400,USD
Kelly 25,4/2/23,Epsom Sellier,441350,THB
Kelly 25,4/4/23,Togo Retourné,1452000,JPY
Kelly 25,4/21/23,Lisse Alligator Mississipiensis Sellier,69900,SGD
Kelly 25,5/22/23,Veau Madame Touch Crocodile Sellier ,20270,USD
Kelly 25,5/27/23,Epsom Sellier ,11800,CAD
Kelly 25,6/9/23,Togo Retourne Touch ,13100,USD
Kelly 25,6/26/23,Togo Retourne ,15900,SGD
Kelly 25,6/28/23,Swift,8400,EUR
Kelly 25,7/27/23,Sellier Crocodile Nilo,35300,EUR
Kelly 25,7/28/23,Epsom Sellier,8650,EUR
Kelly 25,7/29/23,Chèvre Sellier,9250,EUR
Kelly 25,8/8/23,Matte Alligator Retourne,34800,EUR
Kelly 25,8/30/23,Sellier Chèvre Chamkila ,12000,USD
Kelly 25,8/31/23,Togo Retourne,8050,EUR
Kelly 25,9/7/23,Togo Retourne ,11000,CAD
Kelly 25,9/9/23,Matte Alligator Retourne,35300,EUR
Kelly 25,11/14/23,Sellier Veau Madame ,12000,USD
Kelly 25,11/11/23,Sellier Fauve Barenia,11800,EUR
Kelly 25,9/9/23,Box Sellier Midas,119000,EUR
Kelly 25,1/24/23,Swift Padded,11100,EUR
Kelly 28,1/2/23,Epsom Sellier,9100,EUR
Kelly 28,1/7/23,Togo Retourné,8650,EUR
Kelly 28,1/10/23,Togo Retourné ,10600,USD
Kelly 28,2/3/23,Epsom Sellier ,11200,USD
Kelly 28,2/11/23,Togo Retourné ,11300,USD
Kelly 28,2/12/23,Kelly 28 Himalayan Blanc ,65892,USD
Kelly 28,4/3/23,Togo Retourné ,11300,USD
Kelly 28,4/3/23,Epsom Sellier ,11800,USD
Kelly 28,4/30/23,Matte Alligator Retourne ,43400,USD
Kelly 28,5/4/23,Togo Retourne,8000,EUR
Kelly 28,5/17/23,Clemence Retourne ,11300,USD
Kelly 28,7/13/23,Epsom Sellier,9100,EUR
Kelly 28,8/31/23,Togo Retourne,8650,EUR
Kelly 28,8/22/23,Veau Madame,9900,EUR
Kelly 28,8/30/23,Togo Retourne,11800,CAD
Kelly 28,8/30/23,Epsom Sellier,12400,CAD
Kelly 28,11/4/23,Box Calf Sellier ,16400,USD
Kelly 32,1/2/23,Epsom Sellier,9850,EUR
Kelly 32,1/7/23,Togo Retourné,9200,EUR
Kelly 32,3/29/23,Clemence Taurillon Retourne ,12000,USD
Kelly 32,9/2/23,Barenia Faubourg Retourne,10300,EUR
Kelly 35,4/5/23,Togo Retourné,9200,EUR
Kelly 35,4/14/23,Togo Retourné,9850,EUR
Kelly 35,9/2/23,Epsom Sellier,9850,EUR
Kelly 35,10/16/23,Teddy Shearling Limited Edition,17900,EUR
Kelly 35,1/2/23,Epsom Sellier,6700,EUR
Kelly 35,1/2/23,Box Sellier,9250,EUR
Kelly 35,1/7/23,Chèvre,7500,EUR
Kelly 35,1/7/23,Lizard Ombre,16000,EUR
Kelly 35,1/7/23,Lisse Alligator,26200,EUR
Kelly 35,1/10/23,Matte Alligator,28800,EUR
Kelly 35,1/12/23,Epsom,13200,SGD
Kelly 35,1/12/23,Chevre,14300,SGD
Kelly 35,2/7/23,Matte Alligator Mississippiensis ,27300,CAD
Kelly 35,2/9/23,Epsom ,8700,USD
Kelly 35,2/11/23,Lizard ,18000,USD
Kelly 35,3/22/23,Ostrich ,16400,USD
Kelly 35,3/25/23,Ostrich ,15500,USD
Kelly 35,3/29/23,Matte Alligator Mississippiensis ,31500,USD
Kelly 35,3/29/23,Matte Alligator Mississippiensis,51600,SGD
Kelly 35,4/3/23,Chevre ,9450,USD
Kelly 35,4/25/23,Box ,12000,USD
Kelly 35,5/2/23,Chèvre,7250,EUR
Kelly 35,7/28/23,Epsom ,9150,CAD
Kelly 35,8/8/23,Matte Alligator,26200,EUR
Kelly 35,8/31/23,Ostrich,11800,EUR
Kelly 35,10/14/23,Epsom (2 straps) ,9800,USD
Kelly 35,11/2/23,Lisse croc with diamonds ,132400,USD
Kelly 35,11/27/23,Lizard,13800,EUR
Kelly 35,12/3/23,Epsom ,9100,USD
Kelly 35,5/13/23,Swift Picnic ,15900,USD
Kelly 35,5/27/23,Swift Picnic,12400,EUR
Kelly 7.5,1/2/23,Epsom Sellier,6700,EUR
Kelly 7.5,1/2/23,Box Sellier,9250,EUR
Kelly 7.5,1/7/23,Chèvre,7500,EUR
Kelly 7.5,1/7/23,Lizard Ombre,16000,EUR
Kelly 7.5,1/7/23,Lisse Alligator,26200,EUR
Kelly 7.5,1/10/23,Matte Alligator,28800,EUR
Kelly 7.5,1/12/23,Epsom,13200,SGD
Kelly 7.5,1/12/23,Chevre,14300,SGD
Kelly 7.5,2/7/23,Matte Alligator Mississippiensis ,27300,CAD
Kelly 7.5,2/9/23,Epsom ,8700,USD
Kelly 7.5,2/11/23,Lizard ,18000,USD
Kelly 7.5,3/22/23,Ostrich ,16400,USD
Kelly 7.5,3/25/23,Ostrich ,15500,USD
Kelly 7.5,3/29/23,Matte Alligator Mississippiensis ,31500,USD
Kelly 7.5,3/29/23,Matte Alligator Mississippiensis,51600,SGD
Kelly 7.5,4/3/23,Chevre ,9450,USD
Kelly 7.5,4/25/23,Box ,12000,USD
Kelly 7.5,5/2/23,Chèvre,7250,EUR
Kelly 7.5,7/28/23,Epsom ,9150,CAD
Kelly 7.5,8/8/23,Matte Alligator,26200,EUR
Kelly 7.5,8/31/23,Ostrich,11800,EUR
Kelly 7.5,10/14/23,Epsom (2 straps) ,9800,USD
Kelly 7.5,11/2/23,Lisse croc with diamonds ,132400,USD
Kelly 7.5,11/27/23,Lizard,13800,EUR
Kelly 7.5,12/3/23,Epsom ,9100,USD
Kelly 7.5,5/13/23,Swift Picnic ,15900,USD
Kelly 7.5,5/27/23,Swift Picnic,12400,EUR
Birkin 20,1/10/23,Picnic,16700,EUR
Birkin 20,2/7/23,Sellier Faubourg Neige (Snow),30100,EUR
Birkin 25,1/2/23,Epsom Sellier,8650,EUR
Birkin 25,1/2/23,Togo,8050,EUR
Birkin 25,1/10/23,Swift (in and out),11800,EUR
Birkin 25,1/10/23,Lizard,15100,EUR
Birkin 25,2/13/23,Togo ,10400,USD
Birkin 25,2/24/23,Shiny Porosus Croc ,52100,USD
Birkin 25,3/15/23,Swift ,10900,USD
Birkin 25,3/21/23,Togo ,12400,CAD
Birkin 25,3/23/23,Chevre ,10600,USD
Birkin 25,3/24/23,Ostrich ,20200,USD
Birkin 25,4/5/23,Swift,8400,EUR
Birkin 25,4/15/23,Lisse Niloticus ,58800,CAD
Birkin 25,4/15/23,Lisse Sellier Porossus ,61000,CAD
Birkin 25,4/17/23,Tadelakt,18100,SGD
Birkin 25,4/20/23,Ostrich,17800,EUR
Birkin 25,4/29/23,Epsom Sellier ,11200,USD
Birkin 25,5/1/23,Lizard ,23000,USD
Birkin 25,5/5/23,Barenia Faubourg ,18455,AUD
Birkin 25,5/6/23,Ostrich ,20200,USD
Birkin 25,5/12/23,Barenia Picnic ,21900,USD
Birkin 25,6/19/23,Veau Grizzly/Swift,9800,EUR
Birkin 25,6/24/23,Cargo ,16000,USD
Birkin 25,6/29/23,Togo,7850,GBP
Birkin 25,6/30/23,Epsom Sellier ,13300,CAD
Birkin 25,7/18/23,Epsom Sellier,8650,EUR
Birkin 25,8/4/23,Togo ,10400,USD
Birkin 25,8/8/23,Shadow,10100,EUR
Birkin 25,8/23/23,Togo ,16510,AUD
Birkin 25,8/30/23,Box Sellier,11900,EUR
Birkin 25,9/28/23,Côte à Côte Tuffetage Swift,10800,EUR
Birkin 25,11/4/23,Togo ,12400,CAD
Birkin 25,11/4/23,Lisse Niloticus w/ Diamond HW,170000,EUR
Birkin 25,11/11/23,Togo,15900,SGD
Birkin 25,11/26/23,Box Sellier ,15400,USD
Birkin 25,11/26/23,Matte Alligator Mississippiensis,34800,EUR
Birkin 25,11/27/23,Ostrich,15600,EUR
Birkin 25,12/10/23,Togo ,10400,USD
Birkin 25,12/11/23,Swift Shadow ,13100,USD
Birkin 30,1/2/23,Togo,8900,EUR
Birkin 30,2/6/23,Epsom Sellier,9750,EUR
Birkin 30,3/30/23,Matte Alligator Mississippiensis,40100,EUR
Birkin 30,4/3/23,Togo ,11600,USD
Birkin 30,4/4/23,Togo,1639000,JPY
Birkin 30,4/7/23,Touch Matte Alligator,18200,EUR
Birkin 30,4/20/23,Togo,8900,EUR
Birkin 30,4/25/23,Vache Naturelle Grainee Sellier ,14800,USD
Birkin 30,4/27/23,Matte Alligator ,53500,USD
Birkin 30,6/17/23,Box Sellier ,17500,USD
Birkin 30,6/29/23,Togo ,11600,USD
Birkin 30,7/12/23,Box Retourne ,15700,USD
Birkin 30,7/17/23,Epsom Retourne ,17200,SGD
Birkin 30,8/19/23,Matte Alligator Mississippiensis SO,40100,EUR
Birkin 30,8/30/23,Epsom,8750,EUR
Birkin 30,8/31/23,Barenia Faubourg,9800,EUR
Birkin 30,8/22/23,Togo,8900,EUR
Birkin 30,8/22/23,Barenia Retourné,12100,EUR
Birkin 30,9/9/23,Ostrich,18200,EUR
Birkin 30,10/17/23,Chèvre,9300,EUR
Birkin 35,1/2/23,Togo,9850,EUR
Birkin 35,1/3/23,Togo,107000,HKD
Birkin 35,3/25/23,Barenia Faubourg ,13800,USD
Birkin 35,12/15/23,Shiny Porosus Croc ,75000,USD
